State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Minnesota,Mary,Mary,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Amanda,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Emily,Samantha,Emily,Emily,Emily,Emily,Emily,Emily,Emma,Emma,Emma,Ava,Ava,Ava,Ava,Olivia,Ava,Olivia,Emma
Mississippi,Mary,Mary,Mary,Mary,Mary,Lisa,Lisa,Mary,Angela,Angela,Angela,Angela,Angela,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Amanda,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Jessica,Jessica,Brittany,Brittany,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Hannah,Alexis,Madison,Hannah,Madison,Madison,Madison,Madison,Madison,Madison,Madison,Madison,Madison,Madison,Madison,Emma
Missouri,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Kimberly,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Jessica,Ashley,Jessica,Ashley,Ashley,Jessica,Jessica,Ashley,Emily,Emily,Emily,Emily,Emily,Emily,Hannah,Madison,Emma,Emma,Emma,Emma,Emma,Emma,Emma,Isabella,Emma,Emma
Montana,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jennifer,Jessica,Jessica,Amanda,Ashley,Jessica,Ashley,Jessica,Jessica,Ashley,Jessica,Jessica,Jessica,Jessica,Hannah,Emily,Madison,Madison,Madison,Madison,Emma,Madison,Emma,Emma,Madison,Madison,Emma,Emma,Emma,Emma
Nebraska,Mary,Mary,Lori,Lisa,Mary,Lisa,Lisa,Lisa,Lisa,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Jessica,Ashley,Ashley,Jessica,Emily,Emily,Emily,Emily,Emily,Hannah,Madison,Emma,Emma,Emma,Emma,Emma,Addison,Ava,Addison,Olivia,Emma,Emma
Nevada,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Ashley,Jessica,Jessica,Jessica,Ashley,Ashley,Jessica,Ashley,Jessica,Jessica,Jessica,Taylor,Jessica,Samantha,Emily,Emily,Emily,Emily,Ashley,Emily,Emily,Emily,Emily,Isabella,Isabella,Sophia,Sophia
New Hampshire,Susan,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Amanda,Amanda,Ashley,Jessica,Jessica,Sarah,Sarah,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emma,Emma,Emma,Emma,Olivia,Emma,Olivia,Sophia,Sophia,Emma
New Jersey,Donna,Susan,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Samantha,Emily,Samantha,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Isabella,Isabella,Isabella,Isabella,Isabella,Sophia,Sophia
New Mexico,Mary,Mary,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Michelle,Michelle,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Amanda,Amanda,Ashley,Jessica,Ashley,Ashley,Ashley,Jessica,Ashley,Samantha,Ashley,Ashley,Alexis,Alexis,Alexis,Alexis,Alexis,Alyssa,Alyssa,Isabella,Isabella,Isabella,Isabella,Isabella,Sophia,Sophia
New York,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Samantha,Samantha,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Isabella,Isabella,Isabella,Isabella,Sophia,Sophia
